year,month,day,ActualMax,AverageTemp,MaxAvTemp,MinAvTemp
2003,02,01,44,35.0,38.3,31.7
2003,03,01,44,30.3,34.0,26.5
2003,04,01,43,25.8,31.2,20.4
2003,05,01,37,19.8,27.3,12.2
2003,06,01,37,9.4,17.0,1.9
2003,07,01,38,18.2,26.7,9.8
2003,08,01,45,26.0,32.4,19.6
2003,09,01,41,26.3,31.8,20.7
2003,10,01,43,28.8,33.6,24.0
2003,11,01,51,28.0,33.9,22.2
2003,12,01,44,30.3,36.6,23.9
2004,01,01,47,33.5,38.7,28.2
2004,02,01,52,32.9,37.6,28.3
2004,03,01,47,32.4,37.1,27.7
2004,04,01,41,25.3,30.1,20.6
2004,05,01,41,18.8,26.3,11.4
2004,06,01,37,11.4,19.0,2.9
2004,07,01,40,19.2,27.7,10.6
2004,08,01,43,27.6,33.4,20.6
2004,09,01,41,27.2,32.8,21.9
2004,10,01,45,29.6,34.6,25.0
2004,11,01,36,21.5,25.7,17.4
2004,12,01,43,33.3,37.2,29.4
2005,01,01,52,33.5,39,28
2005,02,01,55,32.9,38,28
2005,03,01,48,32.4,37.1,27.7
2005,04,01,45,25.3,30.1,20.6
2005,05,01,41,18.8,26.3,11.4
2005,06,01,39,11.4,19.0,2.9
2005,07,01,42,19.2,27.7,10.6
2005,08,01,45,27.6,33.4,20.6
2005,09,01,45,27.2,32.8,21.9
2005,10,01,45,29.6,35,25.8
2005,11,01,52,21.5,25.7,17.4
2005,12,01,50,33.3,37.2,29.4
2006,01,01,47.2,33.5,39,29
2006,02,01,52.5,32.9,37.6,28.3
2006,03,01,47.8,32.4,37.1,27.7
2006,04,01,41.1,25.3,30.1,20.6
2006,05,01,41.2,18.8,26.3,11.4
2006,06,01,37.5,11,19.8,3
2006,07,01,43,19.2,27.7,10.6
2006,08,01,44,27.6,33.4,20.6
2006,09,01,40,27.2,32.8,21.9
2006,10,01,44,31,35,29
2006,11,01,36,20,25,17
2006,12,01,43,33.3,37.2,29.4
2007,01,01,47,33.5,38.7,28.2
2007,02,01,52,32.9,37.6,28.3
2007,03,01,47,32.4,37.1,27.7
2007,04,01,45,25.3,30.1,20.6
2007,05,01,44,18.8,26.3,11.4
2007,06,01,37,11.4,19.0,2.9
2007,07,01,42.1,19.2,27.7,10.6
2007,08,01,43,28,34,21
2007,09,01,47,27.2,32.8,21.9
2007,10,01,45,29.6,34.6,25.0
2007,11,01,40,21.5,25.7,17.4
2007,12,01,43,33.3,37.2,29.4
2008,01,01,47,33.5,38.7,28.2
2008,02,01,52,32.9,37.6,28.3
2008,03,01,47,32.4,37.1,27.7
2008,04,01,41,29,31,28
2008,05,01,41,18.8,26.3,11.4
2008,06,01,38,11.4,19.0,2.9
2008,07,01,42,19.2,27.7,10.6
2008,08,01,44,27.6,33.4,20.6
2008,09,01,40,27.2,32.8,21.9
2008,10,01,45,29.6,34.6,25.0
2008,11,01,33,22,26,18
2008,12,01,47.8,33.3,37.2,29.4
2009,01,01,47,33.5,38.7,28.2
2009,02,01,52,32.9,37.6,28.3
2009,03,01,47,32.4,37.1,27.7
2009,04,01,41,25.3,30.1,20.6
2009,05,01,41,19,26,11
2009,06,01,37,11.4,19.0,2.9
