dt,AverageTemperature,AverageTemperatureUncertainty,Country
1896.0901,25.535,0.5579999999999999,Brazil
1896.1001,25.539,0.632,Brazil
1896.1101,25.584,0.644,Brazil
1896.1201,25.685,0.599,Brazil
1897.0101,25.226000000000006,0.988,Brazil
1897.0201,24.987,0.525,Brazil
1897.0301,25.016,0.68,Brazil
1897.0401,25.070999999999998,0.5710000000000001,Brazil
1897.0501,24.391,0.585,Brazil
1897.0601,22.590999999999998,1.012,Brazil
1897.0701,22.197,0.8290000000000001,Brazil
1897.0801,23.73,0.682,Brazil
1897.0901,24.456999999999997,0.628,Brazil
1897.1001,25.478,0.61,Brazil
1897.1101,24.92,0.606,Brazil
1897.1201,25.549,0.648,Brazil
1898.0101,25.665000000000006,0.906,Brazil
1898.0201,25.135,0.625,Brazil
1898.0301,24.75,0.762,Brazil
1898.0401,24.418000000000003,0.477,Brazil
1898.0501,23.445999999999998,0.948,Brazil
1898.0601,23.369,0.443,Brazil
1898.0701,23.074,0.54,Brazil
1898.0801,23.748,0.588,Brazil
1898.0901,24.347,0.601,Brazil
1898.1001,24.741999999999997,0.541,Brazil
1898.1101,25.027,0.552,Brazil
1898.1201,24.666,0.416,Brazil
1899.0101,25.004,0.636,Brazil
1899.0201,24.313,1.077,Brazil
1899.0301,24.756,0.736,Brazil
1899.0401,24.625,0.966,Brazil
1899.0501,24.054000000000002,0.7609999999999999,Brazil
1899.0601,22.288,0.71,Brazil
1899.0701,22.932,0.8420000000000001,Brazil
1899.0801,24.491999999999997,0.929,Brazil
1899.0901,24.894000000000002,0.682,Brazil
1899.1001,25.16,0.887,Brazil
1899.1101,25.714000000000002,0.55,Brazil
1899.1201,25.133000000000003,0.6779999999999999,Brazil
1900.0101,25.086,0.657,Brazil
1900.0201,25.259,0.573,Brazil
1900.0301,25.835,0.605,Brazil
1900.0401,24.601999999999997,0.799,Brazil
1900.0501,24.393,1.133,Brazil
1900.0601,23.518,0.934,Brazil
1900.0701,23.81,0.8740000000000001,Brazil
1900.0801,24.313,0.463,Brazil
1900.0901,25.296999999999997,0.544,Brazil
1900.1001,25.799,0.517,Brazil
1900.1101,25.54,0.621,Brazil
1900.1201,25.406,0.626,Brazil
1901.0101,25.144,0.637,Brazil
1901.0201,25.441000000000006,0.713,Brazil
1901.0301,25.209,0.6629999999999999,Brazil
1901.0401,24.345,0.772,Brazil
1901.0501,23.815,0.635,Brazil
1901.0601,23.406999999999996,0.556,Brazil
1901.0701,24.01,0.642,Brazil
1901.0801,24.82,0.7609999999999999,Brazil
1901.0901,25.632,0.6609999999999999,Brazil
1901.1001,25.78,0.593,Brazil
1901.1101,25.216,0.618,Brazil
1901.1201,24.511999999999997,0.405,Brazil
1902.0101,24.934,0.74,Brazil
1902.0201,24.993,0.458,Brazil
1902.0301,24.656,0.481,Brazil
1902.0401,24.398000000000003,0.442,Brazil
1902.0501,24.412,0.7040000000000001,Brazil
1902.0601,24.003,0.877,Brazil
1902.0701,23.761,0.5329999999999999,Brazil
1902.0801,23.660999999999998,0.6729999999999999,Brazil
1902.0901,25.379,0.5870000000000001,Brazil
1902.1001,25.173,0.517,Brazil
1902.1101,25.698,0.472,Brazil
1902.1201,25.462,0.617,Brazil
1903.0101,25.198,0.731,Brazil
1903.0201,25.491000000000003,0.618,Brazil
1903.0301,25.366999999999997,0.5489999999999999,Brazil
1903.0401,24.399,0.52,Brazil
1903.0501,23.596999999999998,0.565,Brazil
1903.0601,23.618,0.487,Brazil
1903.0701,23.311999999999998,0.6920000000000001,Brazil
1903.0801,24.000999999999998,0.536,Brazil
1903.0901,24.854,0.615,Brazil
1903.1001,25.021,0.529,Brazil
1903.1101,25.04,0.416,Brazil
1903.1201,24.997,0.614,Brazil
1904.0101,24.526,0.639,Brazil
1904.0201,24.540000000000006,0.682,Brazil
1904.0301,24.574,0.486,Brazil
1904.0401,24.008000000000003,0.653,Brazil
1904.0501,23.024,0.523,Brazil
1904.0601,22.471999999999998,0.8109999999999999,Brazil
1904.0701,22.774,0.99,Brazil
1904.0801,23.415,0.931,Brazil
1904.0901,24.466,0.7390000000000001,Brazil
1904.1001,24.454,0.764,Brazil
1904.1101,24.959,0.602,Brazil
1904.1201,24.734,0.385,Brazil
1905.0101,24.733,0.6509999999999999,Brazil
1905.0201,24.708,0.7390000000000001,Brazil
1905.0301,24.636,0.639,Brazil
1905.0401,24.237,0.499,Brazil
1905.0501,24.675,0.6990000000000001,Brazil
1905.0601,23.930999999999997,0.67,Brazil
1905.0701,23.421999999999997,0.632,Brazil
